"File","SourceExtension","OriginalWidth","OriginalHeight","WebPWidth","WebPHeight","OriginalBytes","WebPBytes","ReductionPercent"
"affonso-neto",".png","410","259","410","259","143260","11208","92,18"
"alex-garage",".png","859","518","859","518","814630","91624","88,75"
"barion-corvette",".jpg","1440","937","1200","781","120478","73996","38,58"
"barion-mustang",".jpg","750","494","750","494","49383","36916","25,25"
"crys-lorenzi",".png","861","303","861","303","449731","36724","91,83"
"danilo-freitas",".png","717","337","717","337","448044","39474","91,19"
"defrein",".png","559","204","559","204","115757","6588","94,31"
"dieguinho",".png","846","375","846","375","484321","42548","91,21"
"dr-race",".png","801","298","801","298","390371","32366","91,71"
"dudu",".png","958","313","958","313","375147","24352","93,51"
"eduardo-skarbek",".png","689","297","689","297","302135","23222","92,31"
"erick-medici",".png","486","308","486","308","241369","17762","92,64"
"fabio-driftshow",".png","678","237","678","237","247155","19146","92,25"
"facca",".png","734","281","734","281","259862","17926","93,1"
"felipe-medeiros",".png","484","224","484","224","150797","10538","93,01"
"felipe-sestario",".png","677","304","677","304","214695","13762","93,59"
"fortec",".png","576","206","576","206","201081","18342","90,88"
"gabriel-cabral",".png","320","117","320","117","82533","11020","86,65"
"gatto",".png","827","290","827","290","300822","21624","92,81"
"gu-coronado",".png","648","286","648","286","341014","33474","90,18"
"gui-castagna",".png","793","307","793","307","357392","27684","92,25"
"gus-camargo",".png","474","168","474","168","179636","20822","88,41"
"hai-camatti",".png","862","367","862","367","426368","30444","92,86"
"hashimoto",".png","667","265","667","265","313633","27798","91,14"
"jackcaminhoes",".png","858","329","858","329","421745","31436","92,55"
"jayro",".png","714","318","714","318","275957","16442","94,04"
"jeovane-Itso",".png","735","335","735","335","448976","44234","90,15"
"jhony",".png","806","387","806","387","671166","69940","89,58"
"juninho",".jpg","1379","533","1200","464","143044","45612","68,11"
"kabeca",".png","1010","371","1010","371","587742","49344","91,6"
"karine",".png","740","297","740","297","282526","19270","93,18"
"kusma",".png","484","237","484","237","173304","12580","92,74"
"landi",".png","992","379","992","379","540579","43832","91,89"
"leandro-daboit",".png","787","333","787","333","425352","33606","92,1"
"leandro-daboit-chevette",".png","767","300","767","300","297089","20450","93,12"
"leticia-pagy",".png","717","396","717","396","469294","37926","91,92"
"lucas-kize",".png","948","334","948","334","425797","36266","91,48"
"luca-tatsch",".png","662","256","662","256","231825","16500","92,88"
"lucio-turossi",".png","618","275","618","275","266555","20866","92,17"
"luiz-felipe",".png","646","367","646","367","489157","49284","89,92"
"madmax",".png","888","414","888","414","515172","40574","92,12"
"marcelo-machado",".png","962","323","962","323","466196","41758","91,04"
"marcos-alves",".png","778","260","778","260","281774","22736","91,93"
"marcos-gmax",".png","436","151","436","151","129908","14176","89,09"
"marcus-roger",".png","584","322","584","322","271810","21496","92,09"
"maria-lara",".png","853","348","853","348","502337","39698","92,1"
"matheus-pro-one",".png","781","292","781","292","351219","24242","93,1"
"natan-drift",".png","333","128","333","128","73626","7390","89,96"
"nayla-cabral",".png","554","226","554","226","270451","28310","89,53"
"pacheco",".png","649","202","649","202","250638","24208","90,34"
"renan-seco",".png","863","390","863","390","607274","53342","91,22"
"robson-okamura",".png","863","381","863","381","611413","48576","92,06"
"romullo-mesquita",".png","484","242","484","242","174454","14696","91,58"
"santiago",".png","591","319","591","319","369841","39904","89,21"
"sergio-augusto",".png","559","182","559","182","214898","23636","89"
"sobral",".png","672","235","672","235","306948","27818","90,94"
"sombra",".png","672","446","672","446","483333","35740","92,61"
"stancov",".png","616","223","616","223","254990","18516","92,74"
"ted-obermuller",".png","842","373","842","373","488062","41556","91,49"
"trindade-gt86",".png","861","358","861","358","478377","36540","92,36"
"trindade-mercedes",".png","1020","525","1020","525","855649","83044","90,29"
"valentina-piaz",".png","527","193","527","193","183736","18490","89,94"
"vitor-jatoba",".png","630","265","630","265","298198","26522","91,11"
"zaupa",".png","762","257","762","257","320648","28516","91,11"
