"File","SourceExtension","OriginalWidth","OriginalHeight","WebPWidth","WebPHeight","OriginalBytes","WebPBytes","ReductionPercent","ColorMode"
"betinho",".png","600","600","512","512","590385","23218","96,07","source RGB normalized to sRGB"
"diogo",".png","600","600","512","512","615351","27542","95,52","source RGB normalized to sRGB"
"dk gui",".png","600","600","512","512","450166","42562","90,55","source RGB normalized to sRGB"
"ederHara",".png","600","600","512","512","595319","28836","95,16","source RGB normalized to sRGB"
"eugenio",".png","600","600","512","512","360168","27476","92,37","source RGB normalized to sRGB"
"felipe fatos",".png","600","600","512","512","290221","23528","91,89","source RGB normalized to sRGB"
"gabriel_ramalho",".png","600","600","512","512","465578","36060","92,25","source RGB normalized to sRGB"
"glenavan",".png","600","600","512","512","1131388","27514","97,57","source RGB normalized to sRGB"
"gustinho",".png","600","600","512","512","353453","27118","92,33","source RGB normalized to sRGB"
"henrique souza",".png","600","600","512","512","1307205","30454","97,67","source RGB normalized to sRGB"
"higa",".png","600","600","512","512","368917","34318","90,7","source RGB normalized to sRGB"
"jacare",".png","600","600","512","512","408323","41334","89,88","source RGB normalized to sRGB"
"jeronimo",".png","600","600","512","512","1305832","41248","96,84","source RGB normalized to sRGB"
"kakazin",".png","1336","1336","512","512","1985883","30028","98,49","source RGB normalized to sRGB"
"leandroCapotaria",".png","600","600","512","512","1203424","32250","97,32","source RGB normalized to sRGB"
"mandioca",".png","600","600","512","512","315016","26052","91,73","source RGB normalized to sRGB"
"mucio",".png","600","600","512","512","338236","29498","91,28","source RGB normalized to sRGB"
"panda",".png","600","600","512","512","396290","31320","92,1","source RGB normalized to sRGB"
"pedro-costa",".png","600","600","512","512","312899","17700","94,34","source RGB normalized to sRGB"
"rainer-lopes",".png","600","600","512","512","260163","19712","92,42","source RGB normalized to sRGB"
"romaoCanuto",".png","600","600","512","512","1279097","34076","97,34","source RGB normalized to sRGB"
"sartor",".png","600","600","512","512","1155901","42744","96,3","source RGB normalized to sRGB"
"sergio hanazono",".png","600","600","512","512","308909","26478","91,43","source RGB normalized to sRGB"
"sergio-longatti",".png","600","600","512","512","378019","27524","92,72","source RGB normalized to sRGB"
"tales",".png","600","600","512","512","1088837","29062","97,33","source RGB normalized to sRGB"
"trindade",".png","600","600","512","512","308298","25364","91,77","source RGB normalized to sRGB"
"valdemir freitag",".png","600","600","512","512","394780","26168","93,37","source RGB normalized to sRGB"
"wilder",".png","600","600","512","512","471293","40028","91,51","source RGB normalized to sRGB"
"yasmin",".png","600","600","512","512","1312765","37094","97,17","source RGB normalized to sRGB"
